Time,Start Time,End Time,Weather
2018-08-09,2018-08-09 09:30:00,2018-08-09 17:00:00,02High temperature
2018-08-14,2018-08-14 15:30:00,2018-08-14 15:30:00,02High temperature
2018-08-19,2018-08-19 14:00:00,2018-08-19 14:00:00,02High temperature
2018-08-21,2018-08-21 14:30:00,2018-08-21 15:00:00,02High temperature
2018-08-22,2018-08-22 10:30:00,2018-08-22 17:45:00,02High temperature
2018-08-23,2018-08-23 10:30:00,2018-08-23 21:00:00,02High temperature
2018-08-25,2018-08-25 10:00:00,2018-08-25 15:45:00,02High temperature
2018-08-26,2018-08-26 10:00:00,2018-08-26 19:00:00,02High temperature
2018-09-04,2018-09-04 11:30:00,2018-09-04 16:30:00,02High temperature
2018-09-05,2018-09-05 10:30:00,2018-09-05 19:00:00,02High temperature
2018-09-06,2018-09-06 09:00:00,2018-09-06 23:30:00,02High temperature
2018-09-07,2018-09-07 09:30:00,2018-09-07 17:00:00,02High temperature
2018-09-11,2018-09-11 14:30:00,2018-09-11 18:00:00,02High temperature
2018-09-14,2018-09-14 13:30:00,2018-09-14 13:30:00,02High temperature
2018-09-15,2018-09-15 11:30:00,2018-09-15 23:45:00,02High temperature
2018-09-29,2018-09-29 14:30:00,2018-09-29 14:30:00,02High temperature
2019-04-25,2019-04-25 15:30:00,2019-04-25 15:30:00,02High temperature
2019-05-16,2019-05-16 13:00:00,2019-05-16 16:00:00,02High temperature
2019-05-17,2019-05-17 11:00:00,2019-05-17 13:30:00,02High temperature
